name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns,percentile_ns,truncated_mean_ns
fo::NetInBuffer::ReadHashedString,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,410,990,0.000009,1,990,990,990,0.000000,990,990
OnCritterAppeared,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Entity.h,307,100,0.000001,2,50,10,90,56.568542,86,10
Server_Location_GetMapByIndex,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Build\windows\GeneratedSource\MetadataRegistration-Server.gen.cpp,3743,3081,0.000029,1,3081,3081,3081,0.000000,3081,3081
fo::MapManager::TransferToMap,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\MapManager.cpp,885,1290,0.000012,1,1290,1290,1290,0.000000,1290,1290
fo::Player::Send_RemoteCall,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Player.cpp,733,300,0.000003,1,300,300,300,0.000000,300,300
Server_Game_CreateLocation_3,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Build\windows\GeneratedSource\MetadataRegistration-Server.gen.cpp,2965,11250,0.000105,1,11250,11250,11250,0.000000,11250,11250
fo::GlobalMapGroup::RemoveMember,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Critter.cpp,811,140,0.000001,1,140,140,140,0.000000,140,140
fo::NetworkServerConnection_Asio::NextAsyncWrite,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\NetworkServer-Asio.cpp,239,597898,0.005592,32,18684,90,60862,23613.424573,44137,16276
fo::EntityManager::CallInit,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntityManager.cpp,976,5590,0.000052,2,2795,110,5480,4543.286256,5212,110
fo::EnsureEntitySynced,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,1819,400,0.000004,11,36,10,140,233.986324,100,26
fo::ScriptArray::Create,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Scripting\AngelScript\AngelScriptArray.cpp,215,3080,0.000029,3,1026,360,2060,14660.331800,1920,510
fo::EntityManager::RegisterLocation,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntityManager.cpp,1120,2880,0.000027,1,2880,2880,2880,0.000000,2880,2880
fo::NetOutBuffer::DiscardWriteBuf,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,173,1110,0.000010,21,52,10,110,29.869717,100,50
fo::Entity_SetPropertyValue,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Scripting\AngelScript\AngelScriptEntity.cpp,311,1610,0.000015,1,1610,1610,1610,0.000000,1610,1610
fo::ScriptArray::CreateBuffer,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Scripting\AngelScript\AngelScriptArray.cpp,638,1690,0.000016,3,563,160,1310,6604.770322,1201,190
fo::Critter::Critter,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Critter.cpp,52,100,0.000001,2,50,20,80,42.426407,77,20
fo::Critter::Broadcast_Action,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Critter.cpp,1222,1150,0.000011,1,1150,1150,1150,0.000000,1150,1150
fo::ServerEngine::SendCritterInitialInfo,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,2485,8490,0.000079,1,8490,8490,8490,0.000000,8490,8490
fo::NetOutBuffer::StartMsg,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,212,2949,0.000028,23,128,20,290,856.966956,259,114
fo::NetworkServerConnection_Asio::AsyncReadComplete,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\NetworkServer-Asio.cpp,186,3360,0.000031,8,420,250,600,22108.177950,590,394
fo::Map::CreateHexField,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Map.cpp,81,3180,0.000030,1,3180,3180,3180,0.000000,3180,3180
fo::ScriptArray::CheckArraySize,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Scripting\AngelScript\AngelScriptArray.cpp,507,180,0.000002,3,60,50,70,10.000000,69,55
fo::Player::Send_AddCritter,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Player.cpp,268,8517,0.000080,2,4258,1710,6807,27607.319102,6552,1710
fo::ConvertScriptToPropsObject,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Scripting\AngelScript\AngelScriptHelpers.cpp,1046,200,0.000002,1,200,200,200,0.000000,200,200
fo::NetInBuffer::ShrinkReadBuf,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,323,1770,0.000017,8,221,80,350,428.640375,343,202
fo::Properties::ValidateForRawData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Properties.cpp,1453,229,0.000002,8,28,9,60,23.691469,60,28
