name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns,percentile_ns,truncated_mean_ns
fo::EntityManager::GetPlayersCount,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntityManager.cpp,158,86013,0.000879,327,263,130,600,90.733007,410,252
fo::ServerEngine::SyncPointJob,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,738,456413,0.004664,327,1395,520,44811,22360.314533,1850,1187
fo::ServerEngine::OnSaveSynchronizedTime,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,3732,257535,0.002632,340,757,50,114843,7068.062479,450,227
fo::ServerConnection::InBufAccessor::~InBufAccessor,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\ServerConnection.cpp,96,31910,0.000326,54,590,10,14960,2134.458528,353,212
fo::NetworkServerConnection::Dispatch,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\NetworkServer.cpp,159,1310,0.000013,6,218,20,460,48710.703134,458,170
fo::GameTimer::GetSynchronizedTime,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Timer.cpp,129,107261,0.001096,1017,105,10,540,85.685161,270,95
fo::EntityLock::TryAcquire,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,465,31472,0.000322,96,327,50,3771,407.114079,648,270
fo::SyncContext::SyncEntities,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,815,532741,0.005445,48,11098,7930,21208,5698.623210,16172,10591
fo::ServerEngine::FrameTimeJob,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,767,174395,0.001782,674,258,0,25556,11330.412603,490,185
fo::WorkThread::AddJobInternal,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Essentials\WorkThread.cpp,120,318725,0.003257,1001,318,30,18055,910.062361,630,238
fo::ServerEngine::CountServerStatsJob,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,173,10772,0.000110,48,224,50,7191,1027.744628,185,68
fo::NetInBuffer::ShrinkReadBuf,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,323,820,0.000008,3,273,180,340,513.705655,336,240
fo::NetBuffer::GrowBuf,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,113,670,0.000007,26,25,10,80,21.587033,75,21
fo::ServerEngine::RequireCurrentSyncContext,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,105,13490,0.000138,48,281,140,3400,466.148730,419,203
fo::NetworkServerConnection::ReceiveCallback,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\NetworkServer.cpp,197,2760,0.000028,3,920,760,1110,16534.135901,1088,825
fo::NetInBuffer::Pop,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,303,830,0.000008,3,276,210,310,76.446059,310,276
fo::NetInBuffer::NeedProcess,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,427,18610,0.000190,51,364,30,6180,1246.150360,1745,82
fo::StreamCompressor::Compress,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Essentials\Compressor.cpp,122,44012,0.000450,6,7335,5711,9820,1837.801513,9723,6838
fo::NetBuffer::CopyBuf,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,130,5241,0.000054,56,93,10,1660,274.060345,253,37
fo::NetInBuffer::ReadMsg,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,379,590,0.000006,3,196,150,220,134.402381,220,196
fo::ServerEngine::LockForPropertyAccess,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,180,261646,0.002674,674,388,10,11600,3312.781201,854,323
fo::EntityLock::Acquire,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,81,355439,0.003633,674,527,50,78547,3189.150585,784,317
fo::ServerConnection::AsyncSendData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\ServerConnection.cpp,335,5660,0.000058,9,628,150,1840,6834.371643,1528,477
fo::NetBuffer::EncryptKey,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,79,1520,0.000016,68,22,10,110,19.251672,56,18
fo::Properties::SetRawData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Properties.cpp,1571,247931,0.002534,1685,147,1,50103,1283.588300,498,77
fo::SyncContext::Release,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,1318,216727,0.002215,1049,206,10,15896,2551.128008,470,146
fo::ServerEngine::UpdateJobStats,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,901,109272,0.001117,327,334,110,23100,1419.990831,337,183
fo::ServerEngine::GetCompletedServerJobsCount,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,1012,23381,0.000239,327,71,40,490,39.436444,110,67
fo::ServerConnection::OutBufAccessor::~OutBufAccessor,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\ServerConnection.cpp,61,2400,0.000025,6,400,160,850,49744.512268,785,310
fo::ServerConnection::AsyncReceiveData,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\ServerConnection.cpp,360,4610,0.000047,3,1536,1430,1620,14651.571042,1614,1495
fo::NetworkServerConnection_Asio::AsyncReadComplete,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\NetworkServer-Asio.cpp,186,1611,0.000016,3,537,330,751,33158.186274,729,430
fo::ServerEngine::Process_Ping,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\Server.cpp,2836,2440,0.000025,3,813,630,940,83781.429473,933,750
fo::NetInBuffer::ResetBuf,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,268,900,0.000009,3,300,190,430,173.349358,415,235
fo::GameTimer::FrameAdvance,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\Timer.cpp,94,264510,0.002703,674,392,20,20361,1005.831331,814,296
fo::NetBuffer::ResetBuf,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\NetBuffer.cpp,101,230,0.000002,3,76,50,100,25.179357,98,65
fo::EntityLock::TryRegisterDescendantHold,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Server\EntitySync.cpp,329,37483,0.000383,96,390,90,4090,439.001055,710,336
fo::BaseEngine::FrameAdvance,C:\Users\vladr\lf-6\Engine\Examples\MinimalMultiplayer\Engine\Source\Common\EngineBase.cpp,1196,2412419,0.024654,674,3579,260,43728,9489.076966,8021,2900
